User ID,Height (cm),Weight (kg),Chest (cm),Waist (cm),Hip (cm),Age,Gender,Product ID,Category,Size Purchased,Fit Feedback,Return/Exchange Date,Reason for Return,Size Exchanged,Final Outcome,Cluster ID,Cluster Description,Brand ID,Generated Size Chart,Confidence Scores
19,179,84,90,72,85,24,Female,146,Dresses,XL,0,2023-08-01,Incorrect Size,M,Returned,C04,Athletic Build,B01,"XS: 0.90, S: 0.85",High
20,187,57,101,83,97,33,Female,152,Bottoms,XS,0,2023-07-30,Incorrect Size,XL,Returned,C03,Athletic Build,B04,"XS: 0.90, S: 0.85",Medium
21,151,51,89,69,88,42,Female,126,Dresses,S,1,2023-07-25,Incorrect Size,N/A,Kept,C03,Petite,B03,"L: 0.93, XL: 0.86",Medium
22,170,55,99,78,99,45,Female,135,Dresses,M,1,2023-07-20,Incorrect Size,N/A,Returned,C04,Tall and Athletic,B02,"XS: 0.90, S: 0.85",Low
23,182,80,109,71,110,44,Female,160,Tops,L,0,N/A,Changed Mind,M,Kept,C01,Average Build,B01,"M: 0.95, L: 0.80",Medium
24,161,59,80,68,94,47,Female,103,Tops,XL,1,2023-07-30,Defective,XL,Returned,C04,Tall and Athletic,B02,"XS: 0.90, S: 0.85",High
25,171,70,98,94,104,39,Male,104,Bottoms,S,0,2023-08-01,Defective,M,Kept,C03,Petite,B03,"XS: 0.90, S: 0.85",Medium
26,174,59,93,92,93,27,Male,193,Tops,M,1,2023-07-15,N/A,XL,Kept,C04,Petite,B01,"S: 0.92, M: 0.87",Medium
27,176,72,104,85,92,36,Female,162,Tops,XS,1,N/A,Incorrect Size,M,Kept,C03,Average Build,B03,"XS: 0.90, S: 0.85",High
28,177,52,105,65,104,23,Female,164,Bottoms,XS,1,2023-07-20,Defective,S,Returned,C02,Athletic Build,B02,"M: 0.95, L: 0.80",High
29,165,81,102,68,90,23,Female,150,Dresses,L,1,N/A,Defective,M,Kept,C04,Tall and Athletic,B02,"XS: 0.90, S: 0.85",High
30,164,69,108,94,107,37,Female,192,Dresses,L,0,N/A,Changed Mind,M,Kept,C01,Petite,B03,"S: 0.92, M: 0.87",Medium
31,152,59,101,78,94,46,Male,119,Bottoms,L,1,2023-07-20,Changed Mind,L,Returned,C03,Average Build,B03,"M: 0.95, L: 0.80",Medium
32,186,78,93,87,108,46,Male,143,Tops,M,1,2023-07-15,N/A,XL,Returned,C01,Tall and Athletic,B01,"L: 0.93, XL: 0.86",High
33,156,83,80,80,104,38,Female,192,Dresses,XS,0,2023-07-30,N/A,S,Returned,C02,Athletic Build,B01,"M: 0.95, L: 0.80",High
34,170,86,104,92,101,22,Male,182,Tops,XS,1,2023-07-25,Defective,M,Returned,C02,Tall and Athletic,B03,"S: 0.92, M: 0.87",Medium
35,158,69,108,90,89,28,Male,114,Bottoms,L,0,2023-07-15,N/A,S,Kept,C02,Tall and Athletic,B01,"M: 0.95, L: 0.80",Medium
36,188,57,88,71,98,26,Female,114,Tops,L,0,2023-08-01,Defective,XL,Returned,C01,Petite,B04,"M: 0.95, L: 0.80",High
37,167,56,96,74,101,21,Male,154,Bottoms,XL,1,2023-07-15,Changed Mind,N/A,Kept,C03,Petite,B01,"M: 0.95, L: 0.80",High
38,153,55,93,74,95,28,Female,129,Bottoms,XS,0,2023-07-30,N/A,L,Returned,C01,Average Build,B04,"S: 0.92, M: 0.87",High
39,174,60,92,68,111,43,Female,103,Dresses,L,0,2023-07-15,Defective,L,Kept,C01,Athletic Build,B01,"XS: 0.90, S: 0.85",Low
40,163,67,92,76,88,25,Female,198,Bottoms,L,1,2023-08-01,Defective,XL,Returned,C01,Average Build,B02,"L: 0.93, XL: 0.86",Low
41,158,78,85,70,107,25,Female,173,Dresses,L,1,2023-07-15,Changed Mind,L,Returned,C04,Athletic Build,B02,"S: 0.92, M: 0.87",High
42,175,74,86,77,107,47,Male,105,Bottoms,XL,0,2023-08-01,Defective,N/A,Returned,C02,Tall and Athletic,B03,"M: 0.95, L: 0.80",Low
43,151,70,81,85,101,35,Female,193,Dresses,XS,0,N/A,Incorrect Size,S,Returned,C01,Average Build,B01,"S: 0.92, M: 0.87",High
44,169,52,105,65,109,21,Female,105,Tops,XS,0,N/A,Incorrect Size,M,Kept,C03,Petite,B03,"S: 0.92, M: 0.87",High
45,177,67,87,72,86,48,Male,145,Bottoms,XS,1,2023-07-20,Defective,XL,Returned,C03,Athletic Build,B02,"XS: 0.90, S: 0.85",Low
46,156,73,103,92,105,35,Female,164,Tops,XL,0,2023-08-01,N/A,XL,Returned,C02,Petite,B01,"S: 0.92, M: 0.87",High
47,157,87,85,87,106,22,Male,164,Bottoms,M,1,2023-07-20,Incorrect Size,L,Returned,C04,Petite,B04,"XS: 0.90, S: 0.85",Low
48,184,59,104,80,85,41,Male,143,Bottoms,XL,1,2023-07-20,Incorrect Size,M,Kept,C04,Petite,B01,"XS: 0.90, S: 0.85",Low
49,163,76,82,69,114,49,Female,143,Bottoms,S,0,2023-07-25,Incorrect Size,L,Returned,C01,Average Build,B02,"M: 0.95, L: 0.80",Medium
50,166,61,97,93,112,35,Female,151,Dresses,XL,1,2023-07-30,Incorrect Size,L,Returned,C04,Petite,B01,"XS: 0.90, S: 0.85",Low
51,185,56,97,90,102,31,Male,113,Dresses,S,0,2023-07-25,N/A,S,Returned,C03,Petite,B01,"S: 0.92, M: 0.87",High
52,189,66,101,90,91,22,Male,190,Tops,L,0,2023-07-25,Changed Mind,S,Returned,C04,Average Build,B03,"L: 0.93, XL: 0.86",High
53,153,50,102,71,106,30,Female,173,Tops,S,1,2023-07-20,N/A,L,Kept,C02,Petite,B03,"S: 0.92, M: 0.87",High
54,151,75,85,90,90,30,Female,168,Bottoms,XL,0,2023-07-30,Changed Mind,N/A,Returned,C01,Tall and Athletic,B02,"XS: 0.90, S: 0.85",Low
55,155,64,90,67,90,42,Female,195,Tops,M,1,2023-07-25,Incorrect Size,XL,Kept,C02,Average Build,B03,"XS: 0.90, S: 0.85",High
56,153,82,82,88,98,49,Female,169,Bottoms,XS,1,N/A,Incorrect Size,N/A,Kept,C04,Petite,B03,"S: 0.92, M: 0.87",Medium
57,178,86,95,85,114,35,Female,107,Bottoms,XL,0,2023-07-25,N/A,XL,Returned,C03,Athletic Build,B01,"S: 0.92, M: 0.87",Medium
58,167,80,84,66,107,24,Female,192,Bottoms,XS,0,N/A,N/A,M,Kept,C02,Average Build,B03,"M: 0.95, L: 0.80",High
59,175,84,103,66,110,39,Female,178,Dresses,S,1,2023-07-25,Changed Mind,M,Returned,C04,Petite,B03,"L: 0.93, XL: 0.86",High
60,183,50,101,84,96,27,Female,188,Tops,L,1,2023-08-01,N/A,N/A,Kept,C02,Athletic Build,B01,"XS: 0.90, S: 0.85",Low
61,159,57,81,87,98,30,Male,142,Dresses,L,0,2023-08-01,Defective,L,Kept,C02,Tall and Athletic,B03,"L: 0.93, XL: 0.86",Low
62,185,61,94,94,98,30,Male,105,Bottoms,XL,1,2023-07-30,N/A,L,Returned,C03,Athletic Build,B03,"L: 0.93, XL: 0.86",Low
63,163,68,95,74,96,37,Male,147,Bottoms,S,1,2023-08-01,Incorrect Size,M,Kept,C01,Petite,B04,"XS: 0.90, S: 0.85",Medium
64,180,74,86,84,93,38,Male,148,Dresses,S,1,N/A,N/A,L,Kept,C02,Tall and Athletic,B02,"M: 0.95, L: 0.80",Low
65,164,81,95,73,93,29,Female,198,Tops,XS,0,2023-08-01,Incorrect Size,S,Returned,C03,Tall and Athletic,B01,"M: 0.95, L: 0.80",Low
66,157,61,103,82,86,47,Female,192,Dresses,S,1,N/A,Defective,M,Returned,C04,Tall and Athletic,B03,"M: 0.95, L: 0.80",Low
67,163,62,83,70,102,23,Female,147,Dresses,M,0,2023-07-20,Incorrect Size,XL,Kept,C04,Average Build,B03,"XS: 0.90, S: 0.85",Medium
68,172,77,107,84,89,47,Male,108,Tops,L,0,N/A,N/A,XL,Kept,C02,Tall and Athletic,B03,"XS: 0.90, S: 0.85",High
69,189,50,95,70,110,29,Male,121,Bottoms,M,0,2023-08-01,Changed Mind,L,Kept,C02,Tall and Athletic,B03,"S: 0.92, M: 0.87",Medium
70,170,55,96,90,107,33,Female,188,Tops,M,1,2023-07-25,Defective,XL,Returned,C03,Tall and Athletic,B01,"XS: 0.90, S: 0.85",High
71,165,57,81,89,96,25,Male,124,Tops,XS,1,2023-07-25,Defective,XL,Kept,C02,Average Build,B03,"M: 0.95, L: 0.80",Medium
72,167,53,95,74,98,24,Female,113,Dresses,S,1,2023-07-20,N/A,N/A,Kept,C01,Athletic Build,B02,"S: 0.92, M: 0.87",High
73,173,54,83,92,112,34,Female,115,Bottoms,XS,0,2023-07-15,Defective,N/A,Kept,C03,Tall and Athletic,B02,"XS: 0.90, S: 0.85",High
74,175,74,86,89,97,24,Male,189,Bottoms,L,1,N/A,Incorrect Size,XL,Returned,C04,Tall and Athletic,B03,"XS: 0.90, S: 0.85",Medium
75,174,71,97,73,87,42,Male,153,Bottoms,XS,0,N/A,Changed Mind,M,Returned,C01,Petite,B03,"L: 0.93, XL: 0.86",Medium
76,178,77,85,73,99,43,Female,192,Dresses,M,1,N/A,N/A,XL,Kept,C02,Tall and Athletic,B01,"S: 0.92, M: 0.87",Low
77,164,88,97,67,99,25,Male,172,Dresses,XS,1,2023-07-25,Defective,S,Returned,C04,Average Build,B04,"L: 0.93, XL: 0.86",High
78,150,72,107,76,87,49,Female,131,Tops,S,0,2023-07-30,Incorrect Size,M,Returned,C03,Athletic Build,B01,"L: 0.93, XL: 0.86",High
79,174,53,86,75,104,38,Female,171,Tops,XS,1,2023-07-30,Incorrect Size,S,Kept,C01,Petite,B01,"L: 0.93, XL: 0.86",High
80,156,53,81,78,103,39,Female,151,Dresses,S,0,2023-07-30,Defective,S,Kept,C04,Average Build,B02,"S: 0.92, M: 0.87",Medium
81,158,70,98,89,99,49,Female,147,Tops,M,1,2023-07-20,N/A,L,Returned,C04,Petite,B02,"M: 0.95, L: 0.80",High
82,173,86,88,83,103,36,Male,139,Dresses,S,0,2023-07-20,Incorrect Size,N/A,Returned,C01,Tall and Athletic,B04,"XS: 0.90, S: 0.85",Low
83,150,51,108,74,92,33,Female,181,Tops,S,1,2023-07-25,Defective,L,Kept,C02,Athletic Build,B03,"M: 0.95, L: 0.80",High
84,157,56,83,83,107,30,Male,157,Bottoms,S,1,2023-07-30,N/A,S,Kept,C02,Athletic Build,B04,"L: 0.93, XL: 0.86",High
85,173,65,93,69,97,33,Female,150,Dresses,S,0,2023-07-15,N/A,L,Returned,C02,Tall and Athletic,B03,"L: 0.93, XL: 0.86",High
86,160,66,84,86,107,24,Male,157,Tops,L,1,2023-08-01,Incorrect Size,L,Returned,C03,Tall and Athletic,B02,"XS: 0.90, S: 0.85",High
87,166,69,104,73,114,32,Female,135,Dresses,XL,0,N/A,N/A,M,Returned,C02,Tall and Athletic,B02,"XS: 0.90, S: 0.85",High
88,157,72,86,65,94,31,Female,186,Dresses,L,1,2023-07-30,Changed Mind,L,Kept,C04,Athletic Build,B03,"S: 0.92, M: 0.87",Low
89,184,83,87,79,86,45,Male,107,Tops,XS,0,2023-07-15,Incorrect Size,M,Kept,C04,Average Build,B02,"XS: 0.90, S: 0.85",High
90,184,60,94,88,95,43,Female,153,Tops,L,1,N/A,N/A,L,Returned,C02,Tall and Athletic,B04,"L: 0.93, XL: 0.86",Low
91,182,83,106,94,109,38,Female,110,Dresses,L,1,N/A,Changed Mind,L,Returned,C03,Petite,B04,"XS: 0.90, S: 0.85",Medium
92,154,82,98,94,113,29,Female,192,Dresses,S,1,2023-07-20,Changed Mind,S,Returned,C03,Tall and Athletic,B04,"M: 0.95, L: 0.80",Medium
93,188,75,106,68,106,32,Female,139,Tops,XS,1,2023-07-15,Incorrect Size,S,Kept,C01,Athletic Build,B03,"L: 0.93, XL: 0.86",Medium
94,177,51,90,90,114,34,Male,158,Bottoms,XS,1,2023-07-30,Defective,XL,Kept,C03,Average Build,B01,"XS: 0.90, S: 0.85",Low
95,156,72,99,71,103,39,Male,193,Bottoms,M,1,2023-07-30,N/A,XL,Kept,C02,Average Build,B04,"L: 0.93, XL: 0.86",Low
96,158,71,102,70,93,32,Female,135,Bottoms,S,0,2023-07-25,Changed Mind,M,Kept,C04,Tall and Athletic,B03,"L: 0.93, XL: 0.86",Medium
97,157,83,83,79,93,23,Female,159,Dresses,L,1,2023-07-15,Incorrect Size,S,Returned,C01,Athletic Build,B01,"L: 0.93, XL: 0.86",Medium
98,161,64,97,70,90,41,Female,122,Bottoms,M,1,N/A,N/A,XL,Kept,C04,Tall and Athletic,B01,"S: 0.92, M: 0.87",High
99,183,59,93,71,113,28,Male,109,Dresses,M,1,2023-08-01,Defective,L,Kept,C02,Athletic Build,B04,"M: 0.95, L: 0.80",Low
100,182,64,105,84,94,45,Female,108,Tops,L,0,2023-07-20,N/A,S,Returned,C01,Tall and Athletic,B02,"XS: 0.90, S: 0.85",Medium
101,172,78,85,86,106,38,Male,194,Bottoms,XS,1,2023-07-25,Defective,L,Returned,C03,Average Build,B02,"XS: 0.90, S: 0.85",Low
102,173,72,104,67,108,39,Male,194,Tops,S,0,2023-07-20,N/A,L,Returned,C01,Average Build,B04,"L: 0.93, XL: 0.86",Low
103,186,66,95,85,92,41,Male,158,Bottoms,S,0,N/A,N/A,M,Kept,C02,Petite,B01,"XS: 0.90, S: 0.85",Low
104,184,58,97,93,99,41,Male,195,Bottoms,L,0,N/A,Defective,S,Kept,C03,Tall and Athletic,B04,"L: 0.93, XL: 0.86",Medium
105,189,85,80,93,90,26,Female,122,Tops,S,0,2023-08-01,Defective,L,Kept,C04,Average Build,B01,"M: 0.95, L: 0.80",Medium
106,171,58,87,94,91,34,Female,195,Tops,XL,0,2023-07-20,Incorrect Size,M,Returned,C03,Athletic Build,B02,"L: 0.93, XL: 0.86",High
107,176,65,80,77,104,36,Male,140,Dresses,M,1,2023-07-25,Incorrect Size,N/A,Kept,C04,Tall and Athletic,B04,"M: 0.95, L: 0.80",Low
108,184,85,80,66,101,33,Male,128,Tops,M,1,N/A,Defective,N/A,Kept,C04,Athletic Build,B03,"S: 0.92, M: 0.87",Low
109,150,82,98,67,88,33,Female,146,Dresses,XL,0,2023-07-30,Changed Mind,L,Kept,C02,Tall and Athletic,B02,"L: 0.93, XL: 0.86",Low
110,184,80,100,77,92,28,Female,169,Dresses,S,1,2023-07-30,N/A,L,Returned,C02,Athletic Build,B02,"XS: 0.90, S: 0.85",High
111,186,55,108,73,112,35,Female,181,Tops,XS,1,2023-07-30,Defective,N/A,Kept,C02,Petite,B01,"S: 0.92, M: 0.87",Low
112,163,59,107,86,97,21,Female,152,Bottoms,XL,1,2023-08-01,Changed Mind,XL,Kept,C02,Petite,B02,"XS: 0.90, S: 0.85",High
113,152,65,104,83,108,33,Male,111,Bottoms,XL,1,2023-07-25,Changed Mind,M,Returned,C04,Average Build,B01,"XS: 0.90, S: 0.85",High
114,150,53,106,82,98,23,Female,122,Bottoms,M,1,2023-07-25,Incorrect Size,L,Kept,C02,Petite,B01,"XS: 0.90, S: 0.85",High
115,154,71,89,69,102,22,Male,147,Tops,XS,0,2023-07-15,Incorrect Size,N/A,Kept,C03,Average Build,B03,"XS: 0.90, S: 0.85",High
116,175,62,97,74,107,22,Female,189,Bottoms,XS,0,2023-07-15,N/A,N/A,Kept,C03,Tall and Athletic,B02,"XS: 0.90, S: 0.85",High
117,163,65,91,78,113,30,Male,113,Dresses,S,0,2023-08-01,Incorrect Size,N/A,Returned,C01,Average Build,B02,"S: 0.92, M: 0.87",High
118,188,78,107,85,101,24,Female,145,Tops,XS,0,2023-08-01,N/A,N/A,Returned,C01,Petite,B04,"M: 0.95, L: 0.80",High
119,176,55,96,81,102,35,Female,175,Dresses,S,1,2023-07-30,Defective,N/A,Returned,C02,Average Build,B04,"L: 0.93, XL: 0.86",Medium
120,158,75,80,67,98,42,Female,169,Bottoms,L,1,2023-08-01,N/A,N/A,Kept,C04,Tall and Athletic,B03,"S: 0.92, M: 0.87",Low
121,164,60,87,71,108,48,Female,178,Bottoms,XL,0,2023-07-20,Incorrect Size,L,Returned,C01,Tall and Athletic,B02,"S: 0.92, M: 0.87",Medium
122,164,73,89,73,95,47,Male,122,Bottoms,XL,0,2023-07-20,Incorrect Size,M,Kept,C01,Tall and Athletic,B03,"S: 0.92, M: 0.87",Medium
123,175,78,105,69,94,42,Female,167,Dresses,S,1,2023-07-30,Changed Mind,N/A,Kept,C02,Average Build,B04,"S: 0.92, M: 0.87",High
124,162,52,89,68,97,49,Female,135,Bottoms,S,0,2023-07-15,Incorrect Size,N/A,Returned,C01,Athletic Build,B02,"L: 0.93, XL: 0.86",High
125,181,59,97,67,113,49,Male,132,Dresses,S,1,2023-07-25,Changed Mind,N/A,Kept,C03,Tall and Athletic,B02,"XS: 0.90, S: 0.85",Medium
126,188,50,108,90,104,42,Male,138,Tops,XL,0,2023-07-20,Incorrect Size,N/A,Kept,C03,Petite,B01,"M: 0.95, L: 0.80",Medium
127,181,75,88,77,100,38,Male,158,Tops,S,1,2023-07-25,Changed Mind,N/A,Kept,C04,Athletic Build,B03,"XS: 0.90, S: 0.85",Medium
128,153,61,104,73,98,28,Male,140,Tops,XL,1,2023-07-30,N/A,S,Returned,C03,Average Build,B02,"XS: 0.90, S: 0.85",High
129,179,63,81,94,87,41,Female,188,Bottoms,XL,0,2023-07-25,N/A,S,Kept,C04,Average Build,B04,"L: 0.93, XL: 0.86",Medium
130,186,74,82,87,114,30,Female,192,Dresses,M,0,2023-07-20,N/A,N/A,Kept,C02,Tall and Athletic,B04,"M: 0.95, L: 0.80",High
131,172,57,81,92,102,31,Female,121,Bottoms,M,1,2023-08-01,Changed Mind,N/A,Returned,C04,Petite,B02,"XS: 0.90, S: 0.85",Medium
132,188,53,85,71,111,46,Female,149,Tops,L,0,2023-07-15,N/A,XL,Returned,C03,Average Build,B03,"S: 0.92, M: 0.87",Medium
133,164,77,102,94,90,45,Male,197,Tops,L,0,2023-07-20,Defective,XL,Kept,C03,Athletic Build,B01,"XS: 0.90, S: 0.85",Low
134,178,56,91,93,104,46,Female,192,Bottoms,XS,1,N/A,N/A,M,Returned,C01,Average Build,B02,"S: 0.92, M: 0.87",Medium
135,185,59,101,72,87,27,Male,139,Bottoms,S,0,2023-07-25,N/A,S,Returned,C01,Average Build,B02,"M: 0.95, L: 0.80",Medium
136,162,85,98,74,103,33,Female,161,Bottoms,XL,0,2023-07-25,Changed Mind,L,Returned,C03,Tall and Athletic,B02,"S: 0.92, M: 0.87",High
137,181,51,107,65,110,49,Male,110,Dresses,XS,1,2023-07-25,N/A,M,Kept,C02,Athletic Build,B01,"XS: 0.90, S: 0.85",Low
138,156,75,94,91,87,36,Male,140,Bottoms,M,0,2023-07-30,Incorrect Size,M,Kept,C01,Athletic Build,B01,"L: 0.93, XL: 0.86",Low
139,171,63,98,84,96,39,Male,158,Tops,XL,1,2023-07-30,Changed Mind,N/A,Kept,C02,Petite,B04,"XS: 0.90, S: 0.85",Medium
140,177,65,91,93,92,34,Male,189,Tops,XS,1,2023-07-20,N/A,N/A,Kept,C01,Average Build,B03,"S: 0.92, M: 0.87",Low
141,151,66,97,93,109,34,Male,145,Dresses,M,1,2023-07-15,Defective,L,Kept,C04,Athletic Build,B02,"M: 0.95, L: 0.80",High
142,155,71,95,85,109,42,Male,117,Bottoms,L,1,N/A,Changed Mind,XL,Kept,C04,Athletic Build,B01,"L: 0.93, XL: 0.86",Medium
143,177,53,81,85,89,31,Male,168,Dresses,S,1,2023-07-15,N/A,N/A,Returned,C01,Petite,B02,"XS: 0.90, S: 0.85",High
144,177,68,90,65,101,28,Male,110,Bottoms,S,0,2023-08-01,Defective,S,Kept,C02,Tall and Athletic,B03,"M: 0.95, L: 0.80",Low
145,169,51,91,83,94,31,Female,162,Tops,XS,1,2023-07-15,Changed Mind,L,Kept,C01,Tall and Athletic,B03,"XS: 0.90, S: 0.85",Medium
146,179,88,84,66,105,38,Male,189,Bottoms,M,0,N/A,Incorrect Size,L,Kept,C03,Petite,B04,"L: 0.93, XL: 0.86",Low
147,160,58,106,76,101,31,Female,132,Bottoms,XS,1,2023-07-30,Incorrect Size,N/A,Kept,C03,Athletic Build,B03,"XS: 0.90, S: 0.85",High
148,177,68,106,87,93,30,Male,172,Tops,M,1,2023-07-25,N/A,L,Returned,C03,Petite,B03,"M: 0.95, L: 0.80",Low
149,174,65,103,77,97,47,Female,142,Tops,M,1,2023-07-30,Defective,XL,Kept,C03,Tall and Athletic,B01,"L: 0.93, XL: 0.86",Medium
150,188,74,85,78,94,25,Female,145,Tops,S,0,2023-07-25,Incorrect Size,N/A,Kept,C04,Petite,B04,"M: 0.95, L: 0.80",Low
151,182,67,104,69,113,27,Male,176,Bottoms,L,1,2023-07-25,Defective,XL,Kept,C04,Petite,B04,"M: 0.95, L: 0.80",High
152,150,72,90,67,92,30,Female,121,Dresses,L,0,2023-07-30,Incorrect Size,XL,Returned,C03,Average Build,B03,"L: 0.93, XL: 0.86",Medium
153,176,70,100,91,91,22,Female,127,Bottoms,XL,0,2023-07-15,Changed Mind,S,Returned,C02,Petite,B03,"L: 0.93, XL: 0.86",High
154,162,60,89,88,86,35,Female,130,Dresses,M,1,2023-07-25,Incorrect Size,N/A,Returned,C03,Athletic Build,B01,"L: 0.93, XL: 0.86",Medium
155,152,88,83,81,86,25,Male,174,Bottoms,S,0,2023-07-30,Defective,S,Returned,C01,Tall and Athletic,B02,"L: 0.93, XL: 0.86",Medium
156,188,53,88,65,114,28,Male,185,Bottoms,M,1,2023-07-15,Defective,S,Kept,C04,Tall and Athletic,B02,"L: 0.93, XL: 0.86",High
157,155,74,91,78,88,28,Male,101,Bottoms,XL,0,N/A,N/A,L,Returned,C03,Athletic Build,B01,"XS: 0.90, S: 0.85",High
158,157,81,89,70,93,25,Male,109,Bottoms,S,1,2023-07-25,Changed Mind,M,Returned,C02,Athletic Build,B04,"XS: 0.90, S: 0.85",High
159,176,79,106,81,114,24,Female,103,Dresses,M,1,2023-07-15,Incorrect Size,N/A,Kept,C01,Tall and Athletic,B03,"XS: 0.90, S: 0.85",Low
160,158,75,93,68,109,20,Female,153,Bottoms,L,0,2023-07-25,Changed Mind,XL,Returned,C01,Petite,B04,"S: 0.92, M: 0.87",High
161,186,85,84,70,98,22,Female,142,Tops,L,1,2023-08-01,Changed Mind,L,Returned,C02,Athletic Build,B03,"XS: 0.90, S: 0.85",High
162,182,83,80,65,108,22,Female,119,Tops,XL,1,2023-07-15,Defective,S,Returned,C01,Petite,B01,"S: 0.92, M: 0.87",Low
163,173,58,84,93,95,31,Male,106,Bottoms,L,0,N/A,N/A,S,Kept,C02,Average Build,B02,"XS: 0.90, S: 0.85",Medium
164,164,61,95,73,105,23,Male,107,Dresses,M,1,2023-07-25,Changed Mind,N/A,Kept,C02,Athletic Build,B03,"S: 0.92, M: 0.87",Low
165,181,51,84,68,114,40,Male,143,Tops,XL,1,2023-07-30,Defective,L,Kept,C01,Average Build,B02,"XS: 0.90, S: 0.85",Medium
166,181,87,84,73,91,35,Male,180,Tops,XS,1,2023-08-01,Incorrect Size,XL,Kept,C04,Petite,B04,"S: 0.92, M: 0.87",Medium
167,173,54,108,73,112,30,Female,136,Tops,XL,1,2023-08-01,Defective,S,Returned,C02,Petite,B02,"S: 0.92, M: 0.87",High
168,161,54,97,93,109,27,Female,168,Bottoms,L,1,2023-08-01,N/A,L,Kept,C04,Petite,B04,"L: 0.93, XL: 0.86",High
169,188,71,108,86,103,48,Female,182,Tops,S,1,2023-07-15,Defective,XL,Kept,C02,Average Build,B01,"L: 0.93, XL: 0.86",Low
170,151,54,85,77,88,46,Male,196,Dresses,XL,0,N/A,Changed Mind,L,Returned,C03,Tall and Athletic,B04,"XS: 0.90, S: 0.85",High
171,152,53,100,87,86,28,Female,196,Dresses,M,1,2023-07-25,Defective,S,Returned,C04,Tall and Athletic,B03,"M: 0.95, L: 0.80",Medium
172,186,58,97,93,109,47,Female,182,Dresses,XL,0,N/A,Defective,S,Kept,C01,Athletic Build,B01,"XS: 0.90, S: 0.85",Low
173,166,78,107,81,107,49,Female,139,Tops,L,0,N/A,Defective,XL,Kept,C03,Average Build,B04,"M: 0.95, L: 0.80",High
174,151,71,89,85,106,33,Female,143,Tops,XL,1,2023-07-25,Changed Mind,L,Kept,C04,Athletic Build,B04,"M: 0.95, L: 0.80",Medium
175,151,76,94,67,105,42,Female,137,Dresses,M,1,2023-07-25,N/A,S,Returned,C02,Petite,B03,"S: 0.92, M: 0.87",Low
